Forecast Transaction Date,Min,Most Likely,Max,Actual,MCR,Pct Min,Pct Most Likely,Pct Max
2025-03-07 10:30,1108.85,1398.1,1947.08,,5688,19.49,24.58,34.23
2025-03-07 10:40,1070.83,1379.16,1885.32,,5688,18.83,24.25,33.15
2025-03-07 10:50,1032.8,1360.22,1829.19,,5688,18.16,23.91,32.16
2025-03-07 11:00,1011.98,1358.7,1804.14,,5688,17.79,23.89,31.72
2025-03-07 11:10,1012.19,1378.49,1815.72,,5688,17.8,24.24,31.92
2025-03-07 11:20,1012.4,1398.27,1827.29,,5688,17.8,24.58,32.13
2025-03-07 11:30,1012.6,1418.06,1838.87,,5688,17.8,24.93,32.33
2025-03-07 11:40,1012.81,1437.84,1850.45,,5688,17.81,25.28,32.53
2025-03-07 11:50,1013.02,1457.63,1862.02,,5688,17.81,25.63,32.74
2025-03-07 12:00,1020.67,1480.2,1873.91,,5688,17.94,26.02,32.94
2025-03-07 12:10,1037.42,1506.18,1886.18,,5688,18.24,26.48,33.16
