iter	RMSE
264	17.00131332
265	16.95175889
266	16.91056937
267	16.89731084
268	16.85337113
269	16.8000545
270	16.77772045
271	16.72365009
272	16.64389975
273	16.60093698
274	16.54985427
275	16.49695713
276	16.43484312
277	16.3799787
278	16.3432122
279	16.28411233
280	16.20716629
281	16.16255156
282	16.14150468
283	16.1018073
284	16.00308894
285	15.99393844
286	15.952969
287	15.91589916
288	15.89917566
289	15.88655103
290	15.86068074
291	15.84971516
292	15.79006669
293	15.74014102
294	15.72849828
295	15.70048715
296	15.67485998
297	15.66188233
298	15.6343951
299	15.59565649
300	15.57671533
301	15.54219932
302	15.48525719
303	15.46573149
304	15.41410767
305	15.35519451
306	15.34443532
307	15.31776681
308	15.30232426
309	15.27682938
310	15.21295283
311	15.20628499
312	15.1857841
313	15.12009801
314	15.06155126
315	15.03745013
316	15.00611811
317	14.98068366
318	14.92164601
319	14.88603369
320	14.85327855
321	14.78350273
322	14.74877054
323	14.73005896
324	14.66307152
325	14.61346673
326	14.56199053
327	14.52880726
328	14.50577369
329	14.49341502
330	14.46381629
331	14.43912312
332	14.40680768
333	14.31445522
334	14.2538102
335	14.20087999
336	14.17372737
337	14.13824768
338	14.11779256
339	14.08888293
340	14.07283876
341	14.04114043
342	14.01191273
343	13.96740593
344	13.93993874
345	13.90555754
346	13.87303484
347	13.83715789
348	13.7795759
349	13.75323731
350	13.7277479
351	13.69966671
352	13.68609377
353	13.67059667
354	13.62414232
355	13.59390517
356	13.56895072
357	13.54765774
358	13.49160329
359	13.46781219
360	13.38962803
361	13.33812407
362	13.27669468
363	13.23232985
364	13.20187554
365	13.18946469
366	13.1552861
367	13.13215348
368	13.10381655
369	13.06348637
370	13.02741555
371	13.00050113
372	12.98582027
373	12.97153392
374	12.9439623
375	12.91814407
376	12.85796248
377	12.81751074
378	12.80019356
379	12.77281953
380	12.7508667
381	12.72742302
382	12.70272627
383	12.67418134
384	12.65218525
385	12.62854473
386	12.59150277
387	12.57474716
388	12.52817722
389	12.51636636
390	12.51129053
391	12.46351654
392	12.42244877
393	12.3986955
394	12.35479904
395	12.29823511
396	12.26347539
397	12.25643872
398	12.23507309
399	12.19765753
400	12.15307493
401	12.13698434
402	12.11271144
403	12.08002136
404	12.06681941
405	12.02723111
406	11.98802325
407	11.9370799
408	11.91574078
409	11.9081845
410	11.87338926
411	11.85360002
412	11.84737622
413	11.81897321
414	11.79258694
415	11.75406537
416	11.72585183
417	11.69385465
418	11.66484345
419	11.63549676
420	11.60864751
421	11.58319847
422	11.55896787
423	11.53402655
424	11.46507662
425	11.45808058
426	11.43611285
427	11.42614059
428	11.40545283
429	11.36266403
430	11.3242787
431	11.3167261
432	11.27351369
433	11.25622003
434	11.24507285
435	11.22194586
436	11.21485695
437	11.19270954
438	11.15467195
439	11.12717326
440	11.09835806
441	11.06797323
442	11.04189941
443	11.02663841
444	11.00498634
445	10.98627288
446	10.9658201
447	10.94479929
448	10.92505022
449	10.91098731
450	10.89152559
451	10.8755609
452	10.84758027
453	10.82627584
454	10.78663943
455	10.75609274
456	10.71130216
457	10.69084812
458	10.66763198
459	10.65473749
460	10.64016894
461	10.61154452
462	10.60565638
463	10.58806042
464	10.58248303
465	10.56009669
466	10.52504265
467	10.50415451
468	10.47946699
469	10.43771306
470	10.42611757
471	10.40463769
472	10.38219285
473	10.35779994
474	10.34505637
475	10.33030838
476	10.29734423
477	10.28599762
478	10.27051109
479	10.2606882
480	10.23620515
481	10.21774722
482	10.19875664
483	10.16940916
484	10.16112782
485	10.13738834
486	10.10831186
487	10.08973485
488	10.05238397
489	10.02063172
490	10.01187023
491	9.997536219
492	9.986877099
493	9.961316763
494	9.940207649
495	9.912786912
496	9.900627517
497	9.86896809
498	9.850031056
499	9.842435348
500	9.811939388
501	9.772022051
502	9.762359097
503	9.756386942
504	9.744666727
505	9.721659566
506	9.702464642
507	9.689172291
508	9.675426105
509	9.660226424
510	9.635188849
511	9.614840903
512	9.591824464
513	9.565586071
514	9.542360925
515	9.524065038
516	9.501172405
517	9.491968963
518	9.487761749
519	9.465991033
520	9.448019563
521	9.430323297
522	9.396824445
523	9.3785743
524	9.353548595
525	9.327546345
526	9.308815053
527	9.2909129
528	9.277011199
529	9.251005374
530	9.239884895
531	9.215916255
532	9.192706794
533	9.151795451
534	9.130562544
535	9.113749727
536	9.098033225
537	9.072863833
538	9.052431086
539	9.036158231
540	9.015564214
541	9.006835425
542	8.982866581
543	8.977496745
544	8.957830797
545	8.930801481
546	8.919058733
547	8.898579065
548	8.889296573
549	8.872632758
550	8.855332733
551	8.831599667
552	8.807506909
553	8.781084069
554	8.747891918
555	8.72303342
556	8.696302698
557	8.685631141
558	8.656775695
559	8.644892648
560	8.632896325
561	8.604067343
562	8.585749263
563	8.571759166
564	8.555111844
565	8.53990333
566	8.522966244
567	8.51844195
568	8.48833573
569	8.481294297
570	8.469055212
571	8.443360881
572	8.428728293
573	8.419844741
574	8.397441235
575	8.387377107
576	8.369171975
577	8.350366073
578	8.324557931
579	8.307292082
580	8.293438375
581	8.286419356
582	8.267469017
583	8.246908604
584	8.227379309
585	8.207762792
586	8.19064761
587	8.170070431
588	8.1638065
589	8.153986891
590	8.14162533
591	8.121424641
592	8.10737288
593	8.094172446
594	8.072596305
595	8.06097923
596	8.050508739
597	8.035220113
598	8.014684456
599	8.004287396
600	7.996285561
601	7.970957844
602	7.960102444
603	7.94866648
604	7.942782328
605	7.934291414
606	7.909322615
607	7.892105131
608	7.876635344
609	7.861741407
610	7.857453769
611	7.849550604
612	7.838958361
613	7.827120275
614	7.81793916
615	7.806785683
616	7.786126027
617	7.764028676
618	7.744155412
619	7.732074198
620	7.713061431
621	7.694587698
622	7.684867729
623	7.669849479
624	7.649463811
625	7.637278794
626	7.616666159
627	7.593388507
628	7.568686215
629	7.558094419
630	7.536393262
631	7.532419963
632	7.521948563
633	7.510288887
634	7.502219859
635	7.496945525
636	7.477113153
637	7.473298012
638	7.46116839
639	7.44370367
640	7.422937122
641	7.416238938
642	7.400851105
643	7.382529292
644	7.363467766
645	7.348881385
646	7.340002573
647	7.318844927
648	7.310859073
649	7.303509046
650	7.290583481
651	7.284799719
652	7.278160772
653	7.265528954
654	7.246017352
655	7.225652842
656	7.216439976
657	7.21206469
658	7.196885066
659	7.190653066
660	7.174613017
661	7.164592733
662	7.143987537
663	7.128071548
664	7.110212099
665	7.09909409
666	7.086119142
667	7.074300457
668	7.061325123
669	7.056056585
670	7.047847876
671	7.040229443
672	7.029980409
673	7.020725337
674	7.007630514
675	6.995578915
676	6.983864383
677	6.970024956
678	6.959880766
679	6.943429822
680	6.929632954
681	6.918142692
682	6.914957056
683	6.893895063
684	6.882299131
685	6.868721144
686	6.863292946
687	6.847620371
688	6.834261278
689	6.813712813
690	6.807040094
691	6.796988977
692	6.786785725
693	6.776342336
694	6.768017786
695	6.755129837
696	6.743016967
697	6.734915085
698	6.72688475
699	6.706747719
700	6.698546416
701	6.689465507
702	6.666120467
703	6.654924238
704	6.644030052
705	6.626664473
706	6.617930631
707	6.606895074
708	6.588601797
709	6.574451421
710	6.553580305
711	6.546591161
712	6.539209308
713	6.528634977
714	6.514152673
715	6.508546181
716	6.495215766
717	6.488668999
718	6.473933572
719	6.467828325
720	6.45911597
721	6.452696491
722	6.439052606
723	6.432005109
724	6.420111297
725	6.407873525
726	6.402653106
727	6.393511568
728	6.3779102
729	6.367093603
730	6.354782321
731	6.342149535
732	6.333767832
733	6.327203346
734	6.324272387
735	6.308310904
736	6.293067778
737	6.280240484
738	6.262959045
739	6.24876145
740	6.24334187
741	6.22771498
742	6.210646675
743	6.201491453
744	6.192451891
745	6.182553823
746	6.175723151
747	6.169370828
748	6.155104092
749	6.137019906
750	6.127715574
751	6.12159533
752	6.112363352
753	6.110193919
754	6.100823061
755	6.088758667
756	6.07264192
757	6.06184336
758	6.052073109
759	6.043761552
760	6.04028111
761	6.032545785
762	6.025024113
763	6.012920252
764	6.004750677
765	5.995161319
766	5.993692178
767	5.985378319
768	5.976690525
769	5.966398217
770	5.944942128
771	5.927181547
772	5.920041894
773	5.918058955
774	5.916711532
775	5.914283212
776	5.898229565
777	5.890497639
778	5.877786772
779	5.866110091
780	5.859706331
781	5.847126655
782	5.829609114
783	5.818325987
784	5.811514259
785	5.798126431
786	5.792609265
787	5.78456213
788	5.780494677
789	5.766834307
790	5.757048962
791	5.744100766
792	5.731202115
793	5.72353738
794	5.708975344
795	5.697757337
796	5.693397891
797	5.691199212
798	5.680650466
799	5.668552006
800	5.659083197
801	5.648929412
802	5.641618287
803	5.635730928
804	5.62331218
805	5.614625342
806	5.607901862
807	5.596834902
808	5.591314947
809	5.578940575
810	5.574376046
811	5.568405262
812	5.566946995
813	5.55841992
814	5.555253162
815	5.54686931
816	5.534532351
817	5.532514321
818	5.528880774
819	5.521067866
820	5.513894226
821	5.496600667
822	5.484471635
823	5.475112646
824	5.471406217
825	5.464580227
826	5.45369455
827	5.445024825
828	5.44131773
829	5.43087715
830	5.423786768
831	5.412040788
832	5.397829479
833	5.391185968
834	5.38145629
835	5.373119711
836	5.359157242
837	5.350621074
838	5.340431318
839	5.336235218
840	5.328083779
841	5.322167613
842	5.315543765
843	5.311629381
844	5.302698864
845	5.297771348
846	5.284909158
847	5.273790141
848	5.266361652
849	5.25851691
850	5.246872443
851	5.240097623
852	5.231985045
853	5.217456493
854	5.207335109
855	5.203601874
856	5.194620701
857	5.19202711
858	5.183211337
859	5.174827877
860	5.168171958
861	5.163507967
862	5.157532816
863	5.152679955
864	5.145974707
865	5.140028384
866	5.132017218
867	5.126876701
868	5.122165564
869	5.11582509
870	5.103611471
871	5.101256783
872	5.09689012
873	5.086669642
874	5.08148742
875	5.079100839
876	5.071382579
877	5.06554879
878	5.053097937
879	5.044397638
880	5.032476094
881	5.023235759
882	5.015372871
883	5.002780201
884	4.997781021
885	4.988012982
886	4.9798724
887	4.970622922
888	4.963557984
889	4.957821341
890	4.951400918
891	4.946949312
892	4.937678557
893	4.930536986
894	4.921942586
895	4.917727127
896	4.913509204
897	4.905525891
898	4.898882356
899	4.891446458
900	4.883759936
901	4.876912466
902	4.87239164
903	4.866220891
904	4.860606331
905	4.855017254
906	4.845217665
907	4.839017966
908	4.82962265
909	4.823800932
910	4.818184451
911	4.809423235
912	4.804858172
913	4.799261446
914	4.79233536
915	4.785613391
916	4.779523559
917	4.776369713
918	4.769164416
919	4.760303277
920	4.754355706
921	4.748909923
922	4.742465688
923	4.738854554
924	4.731319713
925	4.715462786
926	4.703892607
927	4.691806653
928	4.68793721
929	4.681777059
930	4.676502937
931	4.6686839
932	4.666543331
933	4.66112506
934	4.652051802
935	4.64556967
936	4.639537923
937	4.630154678
938	4.623032247
939	4.612836401
940	4.605629695
941	4.599109686
942	4.594520373
943	4.589106922
944	4.58047004
945	4.571449056
946	4.568136297
947	4.563098447
948	4.558067515
949	4.551811818
950	4.548477499
951	4.538613696
952	4.535678364
953	4.52792157
954	4.525502299
955	4.522203581
956	4.515793675
957	4.505216742
958	4.501939526
959	4.496783937
960	4.492952867
961	4.487741753
962	4.478979091
963	4.476398937
964	4.471751817
965	4.47033248
966	4.461387563
967	4.454467265
968	4.452774655
969	4.444516919
970	4.440775781
971	4.430276748
972	4.42438577
973	4.416746321
974	4.408649345
975	4.403541467
976	4.398450668
977	4.394519913
978	4.391727276
979	4.386088415
980	4.38172589
981	4.374044328
982	4.368010291
983	4.365500689
984	4.359455526
985	4.355076368
986	4.347683618
987	4.343066962
988	4.333350423
989	4.329552249
990	4.324340766
991	4.318913077
992	4.310752994
993	4.305469404
994	4.302928655
995	4.298093135
996	4.288827428
997	4.281570762
998	4.276858345
999	4.268397647
