iter	Passed	Remaining
408	5600	8093
409	5612	8075
410	5623	8058
411	5635	8042
412	5647	8026
413	5659	8010
414	5672	7996
415	5685	7981
416	5698	7967
417	5712	7953
418	5726	7940
419	5740	7927
420	5754	7914
421	5769	7902
422	5781	7886
423	5793	7870
424	5805	7854
425	5816	7837
426	5830	7823
427	5841	7807
428	5853	7790
429	5865	7775
430	5879	7762
431	5891	7746
432	5903	7730
433	5915	7714
434	5927	7698
435	5939	7683
436	5950	7666
437	5961	7649
438	5974	7635
439	5989	7622
440	6002	7608
441	6013	7592
442	6026	7576
443	6039	7563
444	6051	7546
445	6065	7534
446	6076	7517
447	6093	7508
448	6105	7492
449	6117	7476
450	6129	7460
451	6142	7446
452	6153	7429
453	6167	7416
454	6180	7402
455	6191	7385
456	6202	7369
457	6214	7354
458	6226	7338
459	6237	7322
460	6249	7307
461	6263	7294
462	6275	7278
463	6288	7264
464	6299	7247
465	6311	7232
466	6324	7217
467	6336	7202
468	6347	7186
469	6359	7170
470	6372	7157
471	6384	7141
472	6396	7126
473	6408	7111
474	6420	7096
475	6433	7081
476	6444	7065
477	6455	7050
478	6469	7037
479	6484	7024
480	6496	7009
481	6507	6993
482	6521	6980
483	6532	6964
484	6543	6948
485	6555	6932
486	6570	6920
487	6585	6909
488	6597	6894
489	6609	6879
490	6620	6862
491	6632	6848
492	6644	6832
493	6656	6818
494	6670	6805
495	6682	6790
496	6694	6775
497	6705	6759
498	6720	6747
499	6735	6735
500	6746	6719
501	6761	6707
502	6773	6692
503	6785	6677
504	6797	6663
505	6811	6649
506	6824	6636
507	6840	6625
508	6852	6610
509	6866	6597
510	6878	6582
511	6889	6566
512	6901	6551
513	6914	6537
514	6925	6522
515	6937	6506
516	6949	6492
517	6961	6477
518	6977	6467
519	6994	6456
520	7006	6441
521	7018	6426
522	7032	6413
523	7044	6398
524	7057	6385
525	7071	6372
526	7085	6359
527	7098	6346
528	7111	6331
529	7127	6320
530	7139	6306
531	7154	6293
532	7170	6282
533	7183	6269
534	7207	6264
535	7222	6251
536	7236	6239
537	7255	6230
538	7274	6221
539	7292	6211
540	7311	6203
541	7338	6200
542	7353	6188
543	7372	6179
544	7393	6172
545	7419	6169
546	7454	6173
547	7477	6167
548	7507	6167
549	7523	6155
550	7541	6145
551	7555	6132
552	7571	6120
553	7585	6106
554	7606	6099
555	7624	6088
556	7636	6073
557	7651	6060
558	7666	6048
559	7683	6036
560	7693	6020
561	7708	6007
562	7721	5993
563	7735	5980
564	7748	5965
565	7764	5953
566	7776	5938
567	7792	5926
568	7810	5916
569	7825	5903
570	7839	5890
571	7853	5876
572	7875	5868
573	7892	5857
574	7908	5845
575	7925	5834
576	7938	5820
577	7956	5809
578	7975	5798
579	7992	5787
580	8007	5774
581	8024	5763
582	8037	5748
583	8051	5735
584	8067	5722
585	8079	5708
586	8094	5695
587	8105	5679
588	8125	5670
589	8136	5654
590	8146	5637
591	8170	5630
592	8196	5625
593	8212	5613
594	8231	5602
595	8252	5593
596	8271	5583
597	8315	5589
598	8348	5589
599	8372	5581
600	8398	5575
601	8416	5564
602	8437	5555
603	8461	5547
604	8482	5538
605	8506	5530
606	8520	5516
607	8540	5506
608	8564	5498
609	8582	5487
610	8604	5478
611	8627	5469
612	8650	5461
613	8670	5450
614	8684	5436
615	8699	5423
616	8715	5410
617	8731	5396
618	8746	5383
619	8760	5369
620	8775	5355
621	8791	5342
622	8808	5330
623	8825	5317
624	8841	5305
625	8854	5290
626	8867	5275
627	8884	5262
628	8906	5253
629	8924	5241
630	8937	5226
631	8954	5214
632	8968	5199
633	8981	5185
634	8998	5172
635	9013	5158
636	9026	5144
637	9041	5130
638	9054	5115
639	9068	5100
640	9082	5086
641	9098	5073
642	9114	5060
643	9128	5046
644	9140	5031
645	9154	5016
646	9167	5001
647	9182	4988
648	9195	4973
649	9212	4960
650	9228	4947
651	9240	4931
652	9252	4916
653	9265	4901
654	9281	4888
655	9296	4875
656	9309	4860
657	9323	4846
658	9347	4836
659	9363	4823
660	9380	4811
661	9394	4796
662	9408	4782
663	9420	4767
664	9432	4751
665	9444	4736
666	9456	4720
667	9466	4705
668	9480	4690
669	9492	4675
670	9506	4661
671	9517	4645
672	9527	4629
673	9540	4614
674	9551	4598
675	9562	4583
676	9574	4568
677	9587	4553
678	9601	4539
679	9614	4524
680	9627	4510
681	9640	4494
682	9655	4481
683	9667	4466
684	9680	4451
685	9693	4436
686	9709	4423
687	9723	4409
688	9734	4393
689	9745	4378
690	9757	4363
691	9770	4348
692	9780	4332
693	9794	4318
694	9805	4303
695	9820	4289
696	9833	4274
697	9845	4259
698	9856	4244
699	9871	4230
700	9883	4215
701	9897	4201
702	9909	4186
703	9920	4171
704	9934	4157
705	9946	4141
706	9958	4127
707	9971	4112
708	9984	4098
709	9996	4083
710	10008	4068
711	10020	4053
712	10032	4038
713	10044	4023
714	10054	4007
715	10069	3994
716	10080	3978
717	10096	3965
718	10112	3952
719	10127	3938
720	10142	3924
721	10156	3910
722	10168	3895
723	10182	3881
724	10194	3866
725	10209	3853
726	10226	3840
727	10238	3825
728	10249	3810
729	10261	3795
730	10273	3780
731	10284	3765
732	10296	3750
733	10308	3735
734	10320	3720
735	10332	3706
736	10344	3691
737	10355	3676
738	10366	3661
739	10379	3646
740	10393	3632
741	10408	3619
742	10422	3605
743	10434	3590
744	10444	3574
745	10455	3559
746	10468	3545
747	10480	3530
748	10492	3516
749	10505	3501
750	10518	3487
751	10530	3472
752	10539	3457
753	10549	3441
754	10562	3427
755	10573	3412
756	10583	3397
757	10598	3383
758	10612	3369
759	10624	3355
760	10635	3340
761	10644	3324
762	10655	3309
763	10668	3295
764	10679	3280
765	10694	3267
766	10705	3252
767	10715	3236
768	10732	3223
769	10742	3208
770	10754	3194
771	10766	3179
772	10778	3165
773	10791	3151
774	10802	3136
775	10815	3122
776	10828	3107
777	10839	3092
778	10850	3078
779	10864	3064
780	10875	3049
781	10887	3035
782	10899	3020
783	10912	3006
784	10924	2991
785	10935	2977
786	10945	2962
787	10959	2948
788	10970	2933
789	10981	2919
790	10994	2905
791	11007	2890
792	11023	2877
793	11034	2862
794	11045	2848
795	11058	2833
796	11069	2819
797	11080	2804
798	11093	2790
799	11105	2776
800	11120	2762
801	11136	2749
802	11146	2734
803	11157	2719
804	11173	2706
805	11187	2692
806	11198	2678
807	11211	2664
808	11224	2650
809	11234	2635
810	11246	2620
811	11260	2607
812	11271	2592
813	11285	2578
814	11298	2564
815	11312	2550
816	11323	2536
817	11333	2521
818	11349	2508
819	11365	2494
820	11377	2480
821	11391	2466
822	11407	2453
823	11422	2439
824	11432	2425
825	11443	2410
826	11454	2396
827	11467	2382
828	11479	2367
829	11493	2354
830	11505	2339
831	11516	2325
832	11529	2311
833	11540	2297
834	11550	2282
835	11564	2268
836	11575	2254
837	11588	2240
838	11605	2226
839	11616	2212
840	11630	2198
841	11641	2184
842	11652	2170
843	11664	2156
844	11677	2141
845	11688	2127
846	11707	2114
847	11721	2101
848	11732	2086
849	11744	2072
850	11756	2058
851	11767	2044
852	11780	2030
853	11795	2016
854	11815	2003
855	11831	1990
856	11843	1976
857	11865	1963
858	11881	1950
859	11897	1936
860	11908	1922
861	11924	1908
862	11933	1894
863	11944	1880
864	11955	1865
865	11969	1852
866	11980	1837
867	11994	1824
868	12010	1810
869	12024	1796
870	12037	1782
871	12051	1769
872	12068	1755
873	12087	1742
874	12109	1729
875	12118	1715
876	12129	1701
877	12141	1687
878	12153	1672
879	12163	1658
880	12175	1644
881	12187	1630
882	12203	1617
883	12214	1602
884	12225	1588
885	12235	1574
886	12246	1560
887	12261	1546
888	12271	1532
889	12284	1518
890	12294	1504
891	12309	1490
892	12321	1476
893	12335	1462
894	12350	1448
895	12362	1434
896	12373	1420
897	12384	1406
898	12397	1392
899	12407	1378
900	12421	1364
901	12432	1350
902	12443	1336
903	12456	1322
904	12468	1308
905	12480	1294
906	12490	1280
907	12504	1267
908	12518	1253
909	12529	1239
910	12543	1225
911	12560	1211
912	12572	1198
913	12594	1185
914	12611	1171
915	12625	1157
916	12638	1143
917	12653	1130
918	12668	1116
919	12684	1102
920	12700	1089
921	12713	1075
922	12725	1061
923	12737	1047
924	12749	1033
925	12761	1019
926	12773	1005
927	12787	992
928	12799	978
929	12811	964
930	12822	950
931	12834	936
932	12847	922
933	12859	908
934	12870	894
935	12883	880
936	12896	867
937	12906	853
938	12920	839
939	12933	825
940	12945	811
941	12956	797
942	12968	783
943	12980	770
944	12993	756
945	13006	742
946	13019	728
947	13032	714
948	13047	701
949	13064	687
950	13078	673
951	13093	660
952	13108	646
953	13126	632
954	13141	619
955	13157	605
956	13177	592
957	13200	578
958	13218	565
959	13232	551
960	13246	537
961	13260	523
962	13279	510
963	13294	496
964	13311	482
965	13330	469
966	13347	455
967	13361	441
968	13374	427
969	13395	414
970	13412	400
971	13434	386
972	13447	373
973	13460	359
974	13484	345
975	13495	331
976	13508	318
977	13521	304
978	13533	290
979	13544	276
980	13556	262
981	13567	248
982	13579	234
983	13590	220
984	13602	207
985	13615	193
986	13627	179
987	13642	165
988	13660	151
989	13672	138
990	13683	124
991	13695	110
992	13708	96
993	13721	82
994	13732	69
995	13744	55
996	13754	41
997	13768	27
998	13779	13
999	13793	0
