,begin_datetime_mpt,forecast_alberta_internal_load
0,2025-03-10 00:00,10070
1,2025-03-10 01:00,9963
2,2025-03-10 02:00,9913
3,2025-03-10 03:00,9905
4,2025-03-10 04:00,9930
5,2025-03-10 05:00,10079
6,2025-03-10 06:00,10442
7,2025-03-10 07:00,10897
8,2025-03-10 08:00,10997
9,2025-03-10 09:00,11037
10,2025-03-10 10:00,11036
11,2025-03-10 11:00,11015
12,2025-03-10 12:00,10964
13,2025-03-10 13:00,10938
14,2025-03-10 14:00,10895
15,2025-03-10 15:00,10883
16,2025-03-10 16:00,10918
17,2025-03-10 17:00,10911
18,2025-03-10 18:00,10804
19,2025-03-10 19:00,10842
20,2025-03-10 20:00,10904
21,2025-03-10 21:00,10722
22,2025-03-10 22:00,10466
23,2025-03-10 23:00,10193
