,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-18 15:00:00,17.75,8445.21,-8.89,-8.89,0.0,0.5225,1
2025-06-18 16:00:00,12.5,8453.49,-9.0,-9.0,0.0,0.95,1
2025-06-18 17:00:00,41.76,8383.87,0.0,0.0,0.0,0.95,0
2025-06-18 18:00:00,556.69,8287.84,9.0,0.0,9.0,0.4763,0
2025-06-18 19:00:00,196.24,8358.3,7.15,0.0,7.15,0.1,0
2025-06-18 20:00:00,17.4,8328.29,0.0,0.0,0.0,0.1,0
2025-06-18 21:00:00,15.31,7840.24,-9.0,-9.0,0.0,0.5275,1
2025-06-18 22:00:00,18.23,7092.04,8.12,0.0,8.12,0.1,0
2025-06-18 23:00:00,14.98,6278.8,-0.97,-0.97,0.0,0.1462,1
2025-06-19 00:00:00,9.92,5661.93,-9.0,-9.0,0.0,0.5737,1
2025-06-19 01:00:00,16.75,5587.79,9.0,0.0,9.0,0.1,0
2025-06-19 02:00:00,8.83,5646.2,0.0,0.0,0.0,0.1,0
2025-06-19 03:00:00,7.68,5653.88,-9.0,-9.0,0.0,0.5275,1
2025-06-19 04:00:00,7.74,5875.56,-8.89,-8.89,0.0,0.95,1
2025-06-19 05:00:00,9.05,6105.57,0.0,0.0,0.0,0.95,0
2025-06-19 06:00:00,9.55,6374.35,0.0,0.0,0.0,0.95,0
2025-06-19 07:00:00,10.76,6740.18,0.0,0.0,0.0,0.95,0
2025-06-19 08:00:00,14.58,6813.25,0.0,0.0,0.0,0.95,0
2025-06-19 09:00:00,14.01,6632.28,0.0,0.0,0.0,0.95,0
2025-06-19 10:00:00,14.97,6667.51,0.0,0.0,0.0,0.95,0
2025-06-19 11:00:00,14.74,6883.11,0.0,0.0,0.0,0.95,0
2025-06-19 12:00:00,14.71,7045.86,0.0,0.0,0.0,0.95,0
2025-06-19 13:00:00,19.0,7129.63,7.15,0.0,7.15,0.5737,0
2025-06-19 14:00:00,22.67,7225.91,9.0,0.0,9.0,0.1,0
