,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-27 15:00:00,58.33,8791.91,-9.0,-9.0,0.0,0.5275,1
2025-07-27 16:00:00,68.85,8860.15,-8.89,-8.89,0.0,0.95,1
2025-07-27 17:00:00,75.47,8972.19,0.0,0.0,0.0,0.95,0
2025-07-27 18:00:00,72.72,9036.06,0.0,0.0,0.0,0.95,0
2025-07-27 19:00:00,78.04,9163.07,7.15,0.0,7.15,0.5737,0
2025-07-27 20:00:00,79.25,9242.0,9.0,0.0,9.0,0.1,0
2025-07-27 21:00:00,62.49,9208.54,0.0,0.0,0.0,0.1,0
2025-07-27 22:00:00,44.49,9075.69,-8.89,-8.89,0.0,0.5225,1
2025-07-27 23:00:00,42.7,8846.77,-9.0,-9.0,0.0,0.95,1
2025-07-28 00:00:00,54.45,8681.43,0.0,0.0,0.0,0.95,0
2025-07-28 01:00:00,64.4,8620.94,0.0,0.0,0.0,0.95,0
2025-07-28 02:00:00,76.46,8627.12,0.0,0.0,0.0,0.95,0
2025-07-28 03:00:00,79.93,8659.1,0.0,0.0,0.0,0.95,0
2025-07-28 04:00:00,86.05,8699.72,0.0,0.0,0.0,0.95,0
2025-07-28 05:00:00,104.45,8823.09,0.0,0.0,0.0,0.95,0
2025-07-28 06:00:00,117.31,8987.2,9.0,0.0,9.0,0.4763,0
2025-07-28 07:00:00,116.34,9233.74,7.15,0.0,7.15,0.1,0
2025-07-28 08:00:00,107.14,9423.28,0.0,0.0,0.0,0.1,0
2025-07-28 09:00:00,103.57,9517.51,0.0,0.0,0.0,0.1,0
2025-07-28 10:00:00,96.84,9540.64,0.0,0.0,0.0,0.1,0
2025-07-28 11:00:00,94.36,9509.54,0.0,0.0,0.0,0.1,0
2025-07-28 12:00:00,93.84,9477.1,0.0,0.0,0.0,0.1,0
2025-07-28 13:00:00,91.49,9414.3,0.0,0.0,0.0,0.1,0
2025-07-28 14:00:00,88.66,9347.59,0.0,0.0,0.0,0.1,0
