,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-08-03 15:00:00,34.82,8976.53,-9.0,-9.0,0.0,0.5275,1
2025-08-03 16:00:00,37.63,9182.44,-8.89,-8.89,0.0,0.95,1
2025-08-03 17:00:00,65.01,9390.31,0.0,0.0,0.0,0.95,0
2025-08-03 18:00:00,140.2,9459.72,0.0,0.0,0.0,0.95,0
2025-08-03 19:00:00,222.41,9571.55,9.0,0.0,9.0,0.4763,0
2025-08-03 20:00:00,196.01,9625.9,7.15,0.0,7.15,0.1,0
2025-08-03 21:00:00,123.55,9614.52,0.0,0.0,0.0,0.1,0
2025-08-03 22:00:00,37.12,9456.36,-9.0,-9.0,0.0,0.5275,1
2025-08-03 23:00:00,42.44,9129.75,-8.89,-8.89,0.0,0.95,1
2025-08-04 00:00:00,118.25,8806.2,9.0,0.0,9.0,0.4763,0
2025-08-04 01:00:00,59.02,8536.55,7.15,0.0,7.15,0.1,0
2025-08-04 02:00:00,31.4,8377.81,0.0,0.0,0.0,0.1,0
2025-08-04 03:00:00,30.52,8301.48,0.0,0.0,0.0,0.1,0
2025-08-04 04:00:00,27.19,8278.92,0.0,0.0,0.0,0.1,0
2025-08-04 05:00:00,22.57,8300.81,0.0,0.0,0.0,0.1,0
2025-08-04 06:00:00,16.91,8191.15,0.0,0.0,0.0,0.1,0
2025-08-04 07:00:00,7.14,7997.36,-8.89,-8.89,0.0,0.5225,1
2025-08-04 08:00:00,6.62,7915.21,-9.0,-9.0,0.0,0.95,1
2025-08-04 09:00:00,7.82,8008.95,0.0,0.0,0.0,0.95,0
2025-08-04 10:00:00,10.07,8155.0,0.0,0.0,0.0,0.95,0
2025-08-04 11:00:00,11.89,8289.03,0.0,0.0,0.0,0.95,0
2025-08-04 12:00:00,14.46,8479.51,0.0,0.0,0.0,0.95,0
2025-08-04 13:00:00,17.9,8629.12,7.15,0.0,7.15,0.5737,0
2025-08-04 14:00:00,23.36,8719.21,9.0,0.0,9.0,0.1,0
