,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-22 04:00:00,69.93,8799.0,-9.0,-9.0,0.0,0.5275,1
2025-05-22 05:00:00,80.55,8853.88,8.12,0.0,8.12,0.1,0
2025-05-22 06:00:00,68.09,9096.0,0.0,0.0,0.0,0.1,0
2025-05-22 07:00:00,44.78,9468.0,0.0,0.0,0.0,0.1,0
2025-05-22 08:00:00,32.72,9659.0,0.0,0.0,0.0,0.1,0
2025-05-22 09:00:00,28.44,9748.89,-8.89,-8.89,0.0,0.5225,1
2025-05-22 10:00:00,26.86,9810.0,-9.0,-9.0,0.0,0.95,1
2025-05-22 11:00:00,31.23,8232.01,0.0,0.0,0.0,0.95,0
2025-05-22 12:00:00,32.22,8198.3,0.0,0.0,0.0,0.95,0
2025-05-22 13:00:00,33.5,8171.77,0.0,0.0,0.0,0.95,0
2025-05-22 14:00:00,32.13,8188.27,0.0,0.0,0.0,0.95,0
2025-05-22 15:00:00,30.47,8246.78,0.0,0.0,0.0,0.95,0
2025-05-22 16:00:00,40.33,8361.26,0.0,0.0,0.0,0.95,0
2025-05-22 17:00:00,42.51,8429.4,0.0,0.0,0.0,0.95,0
2025-05-22 18:00:00,44.17,8417.58,0.0,0.0,0.0,0.95,0
2025-05-22 19:00:00,42.81,8415.62,0.0,0.0,0.0,0.95,0
2025-05-22 20:00:00,55.6,8277.1,0.0,0.0,0.0,0.95,0
2025-05-22 21:00:00,105.96,8074.91,9.0,0.0,9.0,0.4763,0
2025-05-22 22:00:00,69.38,7848.05,7.15,0.0,7.15,0.1,0
2025-05-22 23:00:00,66.34,7593.17,0.0,0.0,0.0,0.1,0
2025-05-23 00:00:00,36.39,7502.58,0.0,0.0,0.0,0.1,0
2025-05-23 01:00:00,36.8,7387.0,0.0,0.0,0.0,0.1,0
2025-05-23 02:00:00,28.69,7232.31,-9.0,-9.0,0.0,0.5275,1
2025-05-23 03:00:00,30.95,7182.78,-8.89,-8.89,0.0,0.95,1
2025-05-23 04:00:00,39.39,7346.98,0.0,0.0,0.0,0.95,0
2025-05-23 05:00:00,48.34,7521.88,9.0,0.0,9.0,0.4763,0
2025-05-23 06:00:00,47.36,7692.74,7.15,0.0,7.15,0.1,0
2025-05-23 07:00:00,40.14,7958.92,0.0,0.0,0.0,0.1,0
2025-05-23 08:00:00,33.22,8061.89,0.0,0.0,0.0,0.1,0
2025-05-23 09:00:00,35.52,8090.01,0.0,0.0,0.0,0.1,0
2025-05-23 10:00:00,34.12,8070.46,0.0,0.0,0.0,0.1,0
