,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-10 15:00:00,22.69,7324.86,0.0,0.0,0.0,0.1,0
2025-07-10 16:00:00,23.27,7653.21,0.0,0.0,0.0,0.1,0
2025-07-10 17:00:00,22.46,8069.05,0.0,0.0,0.0,0.1,0
2025-07-10 18:00:00,22.32,8327.79,0.0,0.0,0.0,0.1,0
2025-07-10 19:00:00,21.98,8637.33,0.0,0.0,0.0,0.1,0
2025-07-10 20:00:00,20.93,8968.61,0.0,0.0,0.0,0.1,0
2025-07-10 21:00:00,21.29,8994.97,0.0,0.0,0.0,0.1,0
2025-07-10 22:00:00,18.3,8769.1,0.0,0.0,0.0,0.1,1
2025-07-10 23:00:00,15.89,8313.41,0.0,0.0,0.0,0.1,0
2025-07-11 00:00:00,12.6,7883.47,0.0,0.0,0.0,0.1,0
2025-07-11 01:00:00,11.49,7541.77,0.0,0.0,0.0,0.1,0
2025-07-11 02:00:00,10.61,7387.94,-8.89,-8.89,0.0,0.5225,1
2025-07-11 03:00:00,10.08,7364.44,-9.0,-9.0,0.0,0.95,1
2025-07-11 04:00:00,11.32,7512.93,0.0,0.0,0.0,0.95,0
2025-07-11 05:00:00,13.99,7739.07,9.0,0.0,9.0,0.4763,0
2025-07-11 06:00:00,12.59,7963.46,7.15,0.0,7.15,0.1,0
2025-07-11 07:00:00,9.46,8192.13,0.0,0.0,0.0,0.1,0
2025-07-11 08:00:00,7.66,8428.11,-9.0,-9.0,0.0,0.5275,1
2025-07-11 09:00:00,8.44,8625.37,-8.89,-8.89,0.0,0.95,1
2025-07-11 10:00:00,10.92,8737.95,0.0,0.0,0.0,0.95,0
2025-07-11 11:00:00,15.22,8822.76,0.0,0.0,0.0,0.95,0
2025-07-11 12:00:00,20.49,8877.54,0.0,0.0,0.0,0.95,0
2025-07-11 13:00:00,28.4,8898.13,7.15,0.0,7.15,0.5737,0
2025-07-11 14:00:00,34.43,8899.67,9.0,0.0,9.0,0.1,0
