,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-03 15:00:00,27.79,7080.26,0.0,0.0,0.0,0.1,0
2025-07-03 16:00:00,28.33,7088.77,0.0,0.0,0.0,0.1,0
2025-07-03 17:00:00,28.01,7102.14,0.0,0.0,0.0,0.1,0
2025-07-03 18:00:00,26.91,7174.52,0.0,0.0,0.0,0.1,0
2025-07-03 19:00:00,25.26,7377.77,0.0,0.0,0.0,0.1,0
2025-07-03 20:00:00,24.97,7590.6,0.0,0.0,0.0,0.1,0
2025-07-03 21:00:00,23.14,7526.41,0.0,0.0,0.0,0.1,0
2025-07-03 22:00:00,19.84,7374.37,0.0,0.0,0.0,0.1,0
2025-07-03 23:00:00,16.42,7288.7,0.0,0.0,0.0,0.1,0
2025-07-04 00:00:00,11.98,7343.17,-9.0,-9.0,0.0,0.5275,1
2025-07-04 01:00:00,12.22,7506.58,-8.89,-8.89,0.0,0.95,1
2025-07-04 02:00:00,13.45,7645.5,0.0,0.0,0.0,0.95,0
2025-07-04 03:00:00,17.07,7923.21,0.0,0.0,0.0,0.95,0
2025-07-04 04:00:00,19.1,8188.65,9.0,0.0,9.0,0.4763,0
2025-07-04 05:00:00,18.37,8349.35,7.15,0.0,7.15,0.1,0
2025-07-04 06:00:00,13.4,8460.44,0.0,0.0,0.0,0.1,0
2025-07-04 07:00:00,11.2,8560.81,0.0,0.0,0.0,0.1,0
2025-07-04 08:00:00,9.68,8566.67,-9.0,-9.0,0.0,0.5275,1
2025-07-04 09:00:00,10.84,8435.45,-8.89,-8.89,0.0,0.95,1
2025-07-04 10:00:00,12.22,8292.39,0.0,0.0,0.0,0.95,0
2025-07-04 11:00:00,14.85,8245.73,0.0,0.0,0.0,0.95,0
2025-07-04 12:00:00,17.5,8333.56,0.0,0.0,0.0,0.95,0
2025-07-04 13:00:00,20.47,8410.37,7.15,0.0,7.15,0.5737,0
2025-07-04 14:00:00,22.6,8514.87,9.0,0.0,9.0,0.1,0
