,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-28 15:00:00,97.56,8713.02,0.0,0.0,0.0,0.1,0
2025-05-28 16:00:00,101.34,8850.83,0.0,0.0,0.0,0.1,0
2025-05-28 17:00:00,80.32,8983.7,-9.0,-9.0,0.0,0.5275,1
2025-05-28 18:00:00,81.98,9068.36,-8.89,-8.89,0.0,0.95,1
2025-05-28 19:00:00,118.98,9196.69,0.0,0.0,0.0,0.95,0
2025-05-28 20:00:00,537.28,9221.42,7.15,0.0,7.15,0.5737,0
2025-05-28 21:00:00,551.11,8925.35,9.0,0.0,9.0,0.1,0
2025-05-28 22:00:00,224.85,8395.65,0.0,0.0,0.0,0.1,0
2025-05-28 23:00:00,20.79,7604.29,0.0,0.0,0.0,0.1,0
2025-05-29 00:00:00,14.29,6935.03,-0.97,-0.97,0.0,0.1462,1
2025-05-29 01:00:00,14.53,6466.86,0.0,0.0,0.0,0.1462,0
2025-05-29 02:00:00,13.14,6197.3,-9.0,-9.0,0.0,0.5737,1
2025-05-29 03:00:00,14.59,6024.9,0.0,0.0,0.0,0.5737,0
2025-05-29 04:00:00,16.76,5934.05,9.0,0.0,9.0,0.1,0
2025-05-29 05:00:00,14.32,5837.9,0.0,0.0,0.0,0.1,0
2025-05-29 06:00:00,8.96,5844.36,-9.0,-9.0,0.0,0.5275,1
2025-05-29 07:00:00,11.71,6037.48,-8.89,-8.89,0.0,0.95,1
2025-05-29 08:00:00,14.59,6259.93,0.0,0.0,0.0,0.95,0
2025-05-29 09:00:00,14.57,6316.04,0.0,0.0,0.0,0.95,0
2025-05-29 10:00:00,16.19,6123.28,0.0,0.0,0.0,0.95,0
2025-05-29 11:00:00,17.66,5974.94,0.0,0.0,0.0,0.95,0
2025-05-29 12:00:00,21.88,5897.7,9.0,0.0,9.0,0.4763,0
2025-05-29 13:00:00,20.82,5968.25,7.15,0.0,7.15,0.1,0
2025-05-29 14:00:00,20.45,6066.51,0.0,0.0,0.0,0.1,0
