,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-08-01 15:00:00,40.78,9378.96,-9.0,-9.0,0.0,0.5275,1
2025-08-01 16:00:00,48.35,9503.99,-0.97,-0.97,0.0,0.5737,1
2025-08-01 17:00:00,596.03,9591.04,9.0,0.0,9.0,0.1,0
2025-08-01 18:00:00,37.84,9710.03,-0.97,-0.97,0.0,0.1462,1
2025-08-01 19:00:00,34.8,9918.89,-9.0,-9.0,0.0,0.5737,1
2025-08-01 20:00:00,46.02,9991.07,9.0,0.0,9.0,0.1,0
2025-08-01 21:00:00,34.89,9809.22,0.0,0.0,0.0,0.1,0
2025-08-01 22:00:00,29.97,9502.76,0.0,0.0,0.0,0.1,0
2025-08-01 23:00:00,26.32,9192.98,0.0,0.0,0.0,0.1,0
2025-08-02 00:00:00,25.42,8839.27,-1.94,-1.94,0.0,0.1924,1
2025-08-02 01:00:00,23.03,8705.48,-9.0,-9.0,0.0,0.6199,1
2025-08-02 02:00:00,28.33,8681.25,9.0,0.0,9.0,0.1462,0
2025-08-02 03:00:00,22.9,8644.55,-9.0,-9.0,0.0,0.5737,1
2025-08-02 04:00:00,34.45,8636.93,9.0,0.0,9.0,0.1,0
2025-08-02 05:00:00,20.77,8737.98,-9.0,-9.0,0.0,0.5275,1
2025-08-02 06:00:00,25.33,8642.52,8.12,0.0,8.12,0.1,0
2025-08-02 07:00:00,13.4,8460.23,0.0,0.0,0.0,0.1,0
2025-08-02 08:00:00,12.41,8457.36,0.0,0.0,0.0,0.1,0
2025-08-02 09:00:00,10.31,8693.29,-9.0,-9.0,0.0,0.5275,1
2025-08-02 10:00:00,11.98,8930.99,-8.89,-8.89,0.0,0.95,1
2025-08-02 11:00:00,14.1,9068.6,0.0,0.0,0.0,0.95,0
2025-08-02 12:00:00,15.59,9168.15,0.0,0.0,0.0,0.95,0
2025-08-02 13:00:00,26.13,9260.78,7.15,0.0,7.15,0.5737,0
2025-08-02 14:00:00,37.31,9333.92,9.0,0.0,9.0,0.1,0
