,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-19 15:00:00,41.18,8367.05,-9.0,-9.0,0.0,0.5275,1
2025-07-19 16:00:00,49.45,8541.71,-8.89,-8.89,0.0,0.95,1
2025-07-19 17:00:00,60.98,8713.03,0.0,0.0,0.0,0.95,0
2025-07-19 18:00:00,64.79,8767.16,0.0,0.0,0.0,0.95,0
2025-07-19 19:00:00,77.07,8865.94,7.15,0.0,7.15,0.5737,0
2025-07-19 20:00:00,91.45,8926.66,9.0,0.0,9.0,0.1,0
2025-07-19 21:00:00,74.95,8912.45,0.0,0.0,0.0,0.1,0
2025-07-19 22:00:00,51.89,8900.45,0.0,0.0,0.0,0.1,0
2025-07-19 23:00:00,38.36,8698.79,0.0,0.0,0.0,0.1,0
2025-07-20 00:00:00,33.7,8437.4,-9.0,-9.0,0.0,0.5275,1
2025-07-20 01:00:00,37.31,8248.33,-8.89,-8.89,0.0,0.95,1
2025-07-20 02:00:00,38.22,8149.29,0.0,0.0,0.0,0.95,0
2025-07-20 03:00:00,37.83,8138.01,0.0,0.0,0.0,0.95,0
2025-07-20 04:00:00,44.26,8164.9,0.0,0.0,0.0,0.95,0
2025-07-20 05:00:00,50.28,8196.27,7.15,0.0,7.15,0.5737,0
2025-07-20 06:00:00,53.91,8175.8,9.0,0.0,9.0,0.1,0
2025-07-20 07:00:00,43.26,8215.62,0.0,0.0,0.0,0.1,0
2025-07-20 08:00:00,37.1,8278.64,0.0,0.0,0.0,0.1,0
2025-07-20 09:00:00,35.22,8434.46,0.0,0.0,0.0,0.1,0
2025-07-20 10:00:00,32.53,8522.06,0.0,0.0,0.0,0.1,0
2025-07-20 11:00:00,31.26,8546.1,-9.0,-9.0,0.0,0.5275,1
2025-07-20 12:00:00,32.35,8525.02,-0.97,-0.97,0.0,0.5737,1
2025-07-20 13:00:00,33.71,8476.94,0.0,0.0,0.0,0.5737,0
2025-07-20 14:00:00,37.49,8467.27,9.0,0.0,9.0,0.1,0
