,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-14 15:00:00,48.24,9812.47,-0.47,-0.47,0.0,0.5225,1
2025-05-14 16:00:00,39.85,9871.0,-9.0,-9.0,0.0,0.95,1
2025-05-14 17:00:00,74.94,9837.88,8.12,0.0,8.12,0.5225,0
2025-05-14 18:00:00,47.34,9702.0,-9.0,-9.0,0.0,0.95,1
2025-05-14 19:00:00,90.97,9571.0,0.0,0.0,0.0,0.95,0
2025-05-14 20:00:00,468.89,9461.85,7.15,0.0,7.15,0.5737,0
2025-05-14 21:00:00,587.97,9437.0,9.0,0.0,9.0,0.1,0
2025-05-14 22:00:00,435.37,8044.01,0.0,0.0,0.0,0.1,0
2025-05-14 23:00:00,25.96,7750.92,0.0,0.0,0.0,0.1,0
2025-05-15 00:00:00,25.17,7605.63,0.0,0.0,0.0,0.1,0
2025-05-15 01:00:00,17.72,7404.77,-9.0,-9.0,0.0,0.5275,1
2025-05-15 02:00:00,18.07,7188.13,-8.89,-8.89,0.0,0.95,1
2025-05-15 03:00:00,22.13,6974.71,7.15,0.0,7.15,0.5737,0
2025-05-15 04:00:00,24.88,6931.61,9.0,0.0,9.0,0.1,0
2025-05-15 05:00:00,21.21,7029.17,0.0,0.0,0.0,0.1,0
2025-05-15 06:00:00,18.6,7204.33,0.0,0.0,0.0,0.1,0
2025-05-15 07:00:00,16.82,7435.63,-9.0,-9.0,0.0,0.5275,1
2025-05-15 08:00:00,19.98,7496.38,8.12,0.0,8.12,0.1,0
2025-05-15 09:00:00,18.78,7461.39,0.0,0.0,0.0,0.1,0
2025-05-15 10:00:00,15.14,7308.39,0.0,0.0,0.0,0.1,0
2025-05-15 11:00:00,13.69,7140.83,-9.0,-9.0,0.0,0.5275,1
2025-05-15 12:00:00,14.9,7065.84,-8.89,-8.89,0.0,0.95,1
2025-05-15 13:00:00,16.43,6957.16,0.0,0.0,0.0,0.95,0
2025-05-15 14:00:00,16.79,6837.91,0.0,0.0,0.0,0.95,0
2025-05-15 15:00:00,18.03,6804.3,8.12,0.0,8.12,0.5225,0
2025-05-15 16:00:00,16.52,6794.31,0.0,0.0,0.0,0.5225,0
2025-05-15 17:00:00,15.51,6965.24,-9.0,-9.0,0.0,0.95,1
2025-05-15 18:00:00,16.98,7145.65,0.0,0.0,0.0,0.95,0
2025-05-15 19:00:00,26.39,7504.49,0.0,0.0,0.0,0.95,0
2025-05-15 20:00:00,36.86,7901.02,9.0,0.0,9.0,0.4763,0
2025-05-15 21:00:00,32.02,8218.33,7.15,0.0,7.15,0.1,0
