,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-23 11:00:00,38.74,8292.29,0.0,0.0,0.0,0.1,0
2025-05-23 12:00:00,36.58,8213.72,0.0,0.0,0.0,0.1,0
2025-05-23 13:00:00,29.78,8113.5,0.0,0.0,0.0,0.1,0
2025-05-23 14:00:00,26.47,7963.69,0.0,0.0,0.0,0.1,0
2025-05-23 15:00:00,23.7,7831.1,0.0,0.0,0.0,0.1,0
2025-05-23 16:00:00,21.41,7845.03,-8.89,-8.89,0.0,0.5225,1
2025-05-23 17:00:00,20.53,7943.38,-9.0,-9.0,0.0,0.95,1
2025-05-23 18:00:00,22.18,8004.07,0.0,0.0,0.0,0.95,0
2025-05-23 19:00:00,37.7,8143.63,0.0,0.0,0.0,0.95,0
2025-05-23 20:00:00,46.73,8248.05,9.0,0.0,9.0,0.4763,0
2025-05-23 21:00:00,43.92,8131.74,7.15,0.0,7.15,0.1,0
2025-05-23 22:00:00,24.15,7795.51,0.0,0.0,0.0,0.1,0
2025-05-23 23:00:00,11.66,7333.42,-9.0,-9.0,0.0,0.5275,1
2025-05-24 00:00:00,14.53,7011.43,-8.89,-8.89,0.0,0.95,1
2025-05-24 01:00:00,16.59,6883.06,0.0,0.0,0.0,0.95,0
2025-05-24 02:00:00,20.87,6864.31,0.0,0.0,0.0,0.95,0
2025-05-24 03:00:00,22.4,6861.77,0.0,0.0,0.0,0.95,0
2025-05-24 04:00:00,24.38,6832.99,7.15,0.0,7.15,0.5737,0
2025-05-24 05:00:00,25.35,6761.51,9.0,0.0,9.0,0.1,0
2025-05-24 06:00:00,20.92,6593.5,0.0,0.0,0.0,0.1,0
2025-05-24 07:00:00,17.2,6531.12,0.0,0.0,0.0,0.1,0
2025-05-24 08:00:00,17.89,6591.93,0.0,0.0,0.0,0.1,0
2025-05-24 09:00:00,18.94,6572.95,0.0,0.0,0.0,0.1,0
2025-05-24 10:00:00,18.42,6490.29,0.0,0.0,0.0,0.1,0
