,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-17 15:00:00,17.08,9146.0,-9.0,-9.0,0.0,0.9275,1
2025-05-17 16:00:00,18.73,9197.0,0.0,0.0,0.0,0.9275,0
2025-05-17 17:00:00,18.36,9278.47,-0.47,-0.47,0.0,0.95,1
2025-05-17 18:00:00,19.7,9241.0,0.0,0.0,0.0,0.95,0
2025-05-17 19:00:00,23.87,9153.85,7.15,0.0,7.15,0.5737,0
2025-05-17 20:00:00,33.76,9092.0,9.0,0.0,9.0,0.1,0
2025-05-17 21:00:00,20.26,9124.0,0.0,0.0,0.0,0.1,0
2025-05-17 22:00:00,12.45,7031.58,0.0,0.0,0.0,0.1,0
2025-05-17 23:00:00,10.77,6746.88,-8.89,-8.89,0.0,0.5225,1
2025-05-18 00:00:00,10.75,6618.76,-9.0,-9.0,0.0,0.95,1
2025-05-18 01:00:00,21.63,6553.45,9.0,0.0,9.0,0.4763,0
2025-05-18 02:00:00,16.33,6506.76,7.15,0.0,7.15,0.1,0
2025-05-18 03:00:00,13.36,6482.01,-8.89,-8.89,0.0,0.5225,1
2025-05-18 04:00:00,12.07,6495.81,-9.0,-9.0,0.0,0.95,1
2025-05-18 05:00:00,13.74,6526.72,0.0,0.0,0.0,0.95,0
2025-05-18 06:00:00,15.2,6566.75,0.0,0.0,0.0,0.95,0
2025-05-18 07:00:00,17.63,6753.58,0.0,0.0,0.0,0.95,0
2025-05-18 08:00:00,18.52,6959.95,7.15,0.0,7.15,0.5737,0
2025-05-18 09:00:00,18.82,7049.28,9.0,0.0,9.0,0.1,0
2025-05-18 10:00:00,18.47,7063.32,0.0,0.0,0.0,0.1,0
2025-05-18 11:00:00,18.01,6968.13,0.0,0.0,0.0,0.1,0
2025-05-18 12:00:00,16.56,6794.76,0.0,0.0,0.0,0.1,0
2025-05-18 13:00:00,13.61,6553.12,0.0,0.0,0.0,0.1,0
2025-05-18 14:00:00,11.33,6356.06,0.0,0.0,0.0,0.1,0
2025-05-18 15:00:00,10.96,6255.46,0.0,0.0,0.0,0.1,0
2025-05-18 16:00:00,10.76,6363.21,-0.97,-0.97,0.0,0.1462,1
2025-05-18 17:00:00,10.73,6602.77,-9.0,-9.0,0.0,0.5737,1
2025-05-18 18:00:00,11.05,6683.49,0.0,0.0,0.0,0.5737,0
2025-05-18 19:00:00,11.87,6822.48,0.0,0.0,0.0,0.5737,0
2025-05-18 20:00:00,13.0,6987.43,9.0,0.0,9.0,0.1,0
2025-05-18 21:00:00,11.64,7109.04,0.0,0.0,0.0,0.1,0
