,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-01 15:00:00,40.35,8981.6,-9.0,-9.0,0.0,0.5275,1
2025-07-01 16:00:00,55.43,9165.55,-8.89,-8.89,0.0,0.95,1
2025-07-01 17:00:00,64.68,9349.36,0.0,0.0,0.0,0.95,0
2025-07-01 18:00:00,75.72,9469.36,0.0,0.0,0.0,0.95,0
2025-07-01 19:00:00,104.25,9544.41,0.0,0.0,0.0,0.95,0
2025-07-01 20:00:00,288.78,9430.51,7.15,0.0,7.15,0.5737,0
2025-07-01 21:00:00,336.85,8958.43,9.0,0.0,9.0,0.1,0
2025-07-01 22:00:00,152.73,8392.97,0.0,0.0,0.0,0.1,0
2025-07-01 23:00:00,19.5,7755.97,0.0,0.0,0.0,0.1,0
2025-07-02 00:00:00,12.7,7152.26,0.0,0.0,0.0,0.1,0
2025-07-02 01:00:00,13.46,6752.42,0.0,0.0,0.0,0.1,0
2025-07-02 02:00:00,12.36,6503.44,0.0,0.0,0.0,0.1,0
2025-07-02 03:00:00,11.54,6401.55,0.0,0.0,0.0,0.1,0
2025-07-02 04:00:00,11.2,6421.6,0.0,0.0,0.0,0.1,0
2025-07-02 05:00:00,10.16,6432.96,0.0,0.0,0.0,0.1,0
2025-07-02 06:00:00,6.71,6526.36,-9.0,-9.0,0.0,0.5275,1
2025-07-02 07:00:00,7.46,6753.61,-8.89,-8.89,0.0,0.95,1
2025-07-02 08:00:00,8.53,7156.64,0.0,0.0,0.0,0.95,0
2025-07-02 09:00:00,11.05,7631.04,0.0,0.0,0.0,0.95,0
2025-07-02 10:00:00,12.62,7915.04,0.0,0.0,0.0,0.95,0
2025-07-02 11:00:00,15.04,8030.76,0.0,0.0,0.0,0.95,0
2025-07-02 12:00:00,16.04,8047.89,0.0,0.0,0.0,0.95,0
2025-07-02 13:00:00,18.48,8045.0,7.15,0.0,7.15,0.5737,0
2025-07-02 14:00:00,20.2,8046.54,9.0,0.0,9.0,0.1,0
