,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-15 15:00:00,47.57,8344.1,-9.0,-9.0,0.0,0.5275,1
2025-06-15 16:00:00,58.03,8474.11,8.12,0.0,8.12,0.1,0
2025-06-15 17:00:00,55.73,8572.02,0.0,0.0,0.0,0.1,0
2025-06-15 18:00:00,43.16,8533.3,-9.0,-9.0,0.0,0.5275,1
2025-06-15 19:00:00,47.64,8574.19,0.0,0.0,0.0,0.5275,0
2025-06-15 20:00:00,43.28,8642.75,-8.89,-8.89,0.0,0.95,1
2025-06-15 21:00:00,65.83,8628.74,0.0,0.0,0.0,0.95,0
2025-06-15 22:00:00,118.8,8530.37,7.15,0.0,7.15,0.5737,0
2025-06-15 23:00:00,633.2,8419.0,9.0,0.0,9.0,0.1,0
2025-06-16 00:00:00,74.02,8446.88,0.0,0.0,0.0,0.1,0
2025-06-16 01:00:00,59.24,8437.44,0.0,0.0,0.0,0.1,0
2025-06-16 02:00:00,54.23,8442.25,-8.89,-8.89,0.0,0.5225,1
2025-06-16 03:00:00,48.52,8457.88,-9.0,-9.0,0.0,0.95,1
2025-06-16 04:00:00,57.27,8497.22,0.0,0.0,0.0,0.95,0
2025-06-16 05:00:00,76.57,8513.02,9.0,0.0,9.0,0.4763,0
2025-06-16 06:00:00,61.42,8552.27,7.15,0.0,7.15,0.1,0
2025-06-16 07:00:00,50.34,8564.97,0.0,0.0,0.0,0.1,0
2025-06-16 08:00:00,33.99,8496.91,0.0,0.0,0.0,0.1,0
2025-06-16 09:00:00,29.52,8488.87,-8.89,-8.89,0.0,0.5225,1
2025-06-16 10:00:00,24.56,8531.62,-9.0,-9.0,0.0,0.95,1
2025-06-16 11:00:00,46.62,8606.71,0.0,0.0,0.0,0.95,0
2025-06-16 12:00:00,60.86,8662.83,9.0,0.0,9.0,0.4763,0
2025-06-16 13:00:00,53.52,8731.41,7.15,0.0,7.15,0.1,0
2025-06-16 14:00:00,49.34,8801.18,0.0,0.0,0.0,0.1,0
