,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-05-24 11:00:00,26.12,6616.27,-0.97,-0.97,0.0,0.1462,1
2025-05-24 12:00:00,22.32,6745.02,-9.0,-9.0,0.0,0.5737,1
2025-05-24 13:00:00,34.19,6855.68,9.0,0.0,9.0,0.1,0
2025-05-24 14:00:00,23.45,6994.83,0.0,0.0,0.0,0.1,0
2025-05-24 15:00:00,22.72,7108.97,0.0,0.0,0.0,0.1,0
2025-05-24 16:00:00,19.29,7243.6,-8.89,-8.89,0.0,0.5225,1
2025-05-24 17:00:00,18.74,7389.85,-9.0,-9.0,0.0,0.95,1
2025-05-24 18:00:00,25.98,7526.74,0.0,0.0,0.0,0.95,0
2025-05-24 19:00:00,38.65,7669.31,7.15,0.0,7.15,0.5737,0
2025-05-24 20:00:00,44.11,7568.19,9.0,0.0,9.0,0.1,0
2025-05-24 21:00:00,27.48,7193.4,0.0,0.0,0.0,0.1,0
2025-05-24 22:00:00,18.83,6755.2,0.0,0.0,0.0,0.1,0
2025-05-24 23:00:00,8.58,6322.52,0.0,0.0,0.0,0.1,0
2025-05-25 00:00:00,6.7,6022.98,-8.89,-8.89,0.0,0.5225,1
2025-05-25 01:00:00,6.92,5973.94,0.0,0.0,0.0,0.5225,0
2025-05-25 02:00:00,6.67,6050.27,-9.0,-9.0,0.0,0.95,1
2025-05-25 03:00:00,6.93,6110.49,0.0,0.0,0.0,0.95,0
2025-05-25 04:00:00,8.21,6174.26,0.0,0.0,0.0,0.95,0
2025-05-25 05:00:00,9.0,6119.2,0.0,0.0,0.0,0.95,0
2025-05-25 06:00:00,8.83,5893.99,0.0,0.0,0.0,0.95,0
2025-05-25 07:00:00,12.12,5769.89,0.0,0.0,0.0,0.95,0
2025-05-25 08:00:00,15.17,5892.73,0.0,0.0,0.0,0.95,0
2025-05-25 09:00:00,17.89,5947.53,7.15,0.0,7.15,0.5737,0
2025-05-25 10:00:00,18.79,5837.92,9.0,0.0,9.0,0.1,0
