,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-09 15:00:00,27.7,7622.4,0.0,0.0,0.0,0.1,0
2025-07-09 16:00:00,28.21,7447.9,0.0,0.0,0.0,0.1,0
2025-07-09 17:00:00,29.08,7322.75,0.0,0.0,0.0,0.1,0
2025-07-09 18:00:00,28.67,7269.26,0.0,0.0,0.0,0.1,0
2025-07-09 19:00:00,27.62,7122.97,0.0,0.0,0.0,0.1,0
2025-07-09 20:00:00,26.05,7177.19,0.0,0.0,0.0,0.1,0
2025-07-09 21:00:00,21.85,7689.79,0.0,0.0,0.0,0.1,0
2025-07-09 22:00:00,18.09,8311.92,0.0,0.0,0.0,0.1,0
2025-07-09 23:00:00,18.02,8592.66,0.0,0.0,0.0,0.1,0
2025-07-10 00:00:00,16.16,8535.28,-9.0,-9.0,0.0,0.5275,1
2025-07-10 01:00:00,17.08,8573.31,-8.89,-8.89,0.0,0.95,1
2025-07-10 02:00:00,23.84,8655.4,9.0,0.0,9.0,0.4763,0
2025-07-10 03:00:00,22.52,8698.06,0.0,0.0,0.0,0.4763,0
2025-07-10 04:00:00,22.76,8651.38,7.15,0.0,7.15,0.1,0
2025-07-10 05:00:00,20.56,8630.41,0.0,0.0,0.0,0.1,0
2025-07-10 06:00:00,18.87,8701.22,0.0,0.0,0.0,0.1,0
2025-07-10 07:00:00,19.12,8947.89,0.0,0.0,0.0,0.1,0
2025-07-10 08:00:00,17.44,8949.22,0.0,0.0,0.0,0.1,0
2025-07-10 09:00:00,15.52,8781.08,0.0,0.0,0.0,0.1,0
2025-07-10 10:00:00,13.45,8549.18,-9.0,-9.0,0.0,0.5275,1
2025-07-10 11:00:00,14.6,8210.43,-8.89,-8.89,0.0,0.95,1
2025-07-10 12:00:00,17.14,8013.54,0.0,0.0,0.0,0.95,0
2025-07-10 13:00:00,20.26,7969.67,7.15,0.0,7.15,0.5737,0
2025-07-10 14:00:00,22.1,7904.18,9.0,0.0,9.0,0.1,0
