,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-24 15:00:00,37.57,8012.34,0.0,0.0,0.0,0.1,0
2025-06-24 16:00:00,39.71,8121.38,0.0,0.0,0.0,0.1,0
2025-06-24 17:00:00,35.1,8223.15,0.0,0.0,0.0,0.1,0
2025-06-24 18:00:00,28.41,8225.17,-9.0,-9.0,0.0,0.5275,1
2025-06-24 19:00:00,35.61,8191.17,8.12,0.0,8.12,0.1,0
2025-06-24 20:00:00,27.38,8064.44,0.0,0.0,0.0,0.1,0
2025-06-24 21:00:00,15.84,7529.81,0.0,0.0,0.0,0.1,0
2025-06-24 22:00:00,9.71,6991.91,0.0,0.0,0.0,0.1,0
2025-06-24 23:00:00,6.79,6555.18,-8.89,-8.89,0.0,0.5225,1
2025-06-25 00:00:00,6.17,6188.39,-9.0,-9.0,0.0,0.95,1
2025-06-25 01:00:00,7.9,6019.52,0.0,0.0,0.0,0.95,0
2025-06-25 02:00:00,9.47,6000.86,0.0,0.0,0.0,0.95,0
2025-06-25 03:00:00,8.64,6061.72,0.0,0.0,0.0,0.95,0
2025-06-25 04:00:00,8.8,6109.02,0.0,0.0,0.0,0.95,0
2025-06-25 05:00:00,10.08,6108.94,0.0,0.0,0.0,0.95,0
2025-06-25 06:00:00,11.1,6263.48,0.0,0.0,0.0,0.95,0
2025-06-25 07:00:00,12.58,6626.5,0.0,0.0,0.0,0.95,0
2025-06-25 08:00:00,12.25,7071.55,0.0,0.0,0.0,0.95,0
2025-06-25 09:00:00,15.0,7526.37,0.0,0.0,0.0,0.95,0
2025-06-25 10:00:00,19.05,7802.75,0.0,0.0,0.0,0.95,0
2025-06-25 11:00:00,20.86,7832.28,0.0,0.0,0.0,0.95,0
2025-06-25 12:00:00,22.0,7676.03,0.0,0.0,0.0,0.95,0
2025-06-25 13:00:00,22.02,7511.2,7.15,0.0,7.15,0.5737,0
2025-06-25 14:00:00,22.11,7418.9,9.0,0.0,9.0,0.1,0
