,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-28 15:00:00,12.71,6793.71,-9.0,-9.0,0.0,0.5275,1
2025-06-28 16:00:00,15.02,6971.99,0.0,0.0,0.0,0.5275,0
2025-06-28 17:00:00,14.56,7241.62,-8.89,-8.89,0.0,0.95,1
2025-06-28 18:00:00,15.65,7546.23,0.0,0.0,0.0,0.95,0
2025-06-28 19:00:00,22.73,8016.55,0.0,0.0,0.0,0.95,0
2025-06-28 20:00:00,40.18,8534.7,7.15,0.0,7.15,0.5737,0
2025-06-28 21:00:00,46.45,8697.11,9.0,0.0,9.0,0.1,0
2025-06-28 22:00:00,35.86,8675.95,0.0,0.0,0.0,0.1,0
2025-06-28 23:00:00,30.88,8400.42,0.0,0.0,0.0,0.1,0
2025-06-29 00:00:00,31.49,8019.67,0.0,0.0,0.0,0.1,0
2025-06-29 01:00:00,31.18,7736.78,0.0,0.0,0.0,0.1,0
2025-06-29 02:00:00,29.32,7495.61,0.0,0.0,0.0,0.1,0
2025-06-29 03:00:00,27.03,7315.25,0.0,0.0,0.0,0.1,0
2025-06-29 04:00:00,26.26,7209.91,0.0,0.0,0.0,0.1,0
2025-06-29 05:00:00,24.58,7060.08,0.0,0.0,0.0,0.1,0
2025-06-29 06:00:00,20.1,6820.66,0.0,0.0,0.0,0.1,0
2025-06-29 07:00:00,17.15,6678.1,-8.89,-8.89,0.0,0.5225,1
2025-06-29 08:00:00,15.82,6796.48,-9.0,-9.0,0.0,0.95,1
2025-06-29 09:00:00,18.01,6976.71,0.0,0.0,0.0,0.95,0
2025-06-29 10:00:00,18.26,7114.1,0.0,0.0,0.0,0.95,0
2025-06-29 11:00:00,19.02,7216.97,0.0,0.0,0.0,0.95,0
2025-06-29 12:00:00,20.65,7258.0,0.0,0.0,0.0,0.95,0
2025-06-29 13:00:00,21.9,7251.58,7.15,0.0,7.15,0.5737,0
2025-06-29 14:00:00,24.77,7258.22,9.0,0.0,9.0,0.1,0
