,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-26 15:00:00,36.67,8576.12,0.0,0.0,0.0,0.1,0
2025-06-26 16:00:00,35.01,8664.83,0.0,0.0,0.0,0.1,0
2025-06-26 17:00:00,32.86,8736.97,0.0,0.0,0.0,0.1,0
2025-06-26 18:00:00,31.54,8749.94,-9.0,-9.0,0.0,0.5275,1
2025-06-26 19:00:00,32.39,8782.85,-0.97,-0.97,0.0,0.5737,1
2025-06-26 20:00:00,38.43,8854.06,9.0,0.0,9.0,0.1,0
2025-06-26 21:00:00,27.53,8768.39,0.0,0.0,0.0,0.1,0
2025-06-26 22:00:00,16.5,8525.57,-8.89,-8.89,0.0,0.5225,1
2025-06-26 23:00:00,13.47,8064.29,-9.0,-9.0,0.0,0.95,1
2025-06-27 00:00:00,83.51,7542.29,9.0,0.0,9.0,0.4763,0
2025-06-27 01:00:00,39.65,7347.22,7.15,0.0,7.15,0.1,0
2025-06-27 02:00:00,25.94,7232.4,0.0,0.0,0.0,0.1,0
2025-06-27 03:00:00,21.75,7095.38,0.0,0.0,0.0,0.1,0
2025-06-27 04:00:00,14.15,7021.8,0.0,0.0,0.0,0.1,0
2025-06-27 05:00:00,12.16,6987.26,0.0,0.0,0.0,0.1,0
2025-06-27 06:00:00,12.3,7104.61,0.0,0.0,0.0,0.1,0
2025-06-27 07:00:00,12.75,7412.14,0.0,0.0,0.0,0.1,0
2025-06-27 08:00:00,10.2,7494.43,0.0,0.0,0.0,0.1,0
2025-06-27 09:00:00,9.36,7400.31,-9.0,-9.0,0.0,0.5275,1
2025-06-27 10:00:00,9.7,7169.17,-8.89,-8.89,0.0,0.95,1
2025-06-27 11:00:00,11.14,7131.96,0.0,0.0,0.0,0.95,0
2025-06-27 12:00:00,12.3,7171.83,0.0,0.0,0.0,0.95,0
2025-06-27 13:00:00,13.13,7225.91,7.15,0.0,7.15,0.5737,0
2025-06-27 14:00:00,14.19,7249.07,9.0,0.0,9.0,0.1,0
