,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-05 15:00:00,61.3,8718.33,-9.0,-9.0,0.0,0.5275,1
2025-07-05 16:00:00,77.41,8882.66,-8.89,-8.89,0.0,0.95,1
2025-07-05 17:00:00,81.75,8936.77,0.0,0.0,0.0,0.95,0
2025-07-05 18:00:00,79.75,8904.62,0.0,0.0,0.0,0.95,0
2025-07-05 19:00:00,88.77,8939.53,7.15,0.0,7.15,0.5737,0
2025-07-05 20:00:00,93.29,9008.93,9.0,0.0,9.0,0.1,0
2025-07-05 21:00:00,66.27,8831.49,0.0,0.0,0.0,0.1,0
2025-07-05 22:00:00,42.76,8666.77,0.0,0.0,0.0,0.1,0
2025-07-05 23:00:00,30.59,8414.69,0.0,0.0,0.0,0.1,0
2025-07-06 00:00:00,20.35,8116.21,-8.89,-8.89,0.0,0.5225,1
2025-07-06 01:00:00,20.01,7901.48,-9.0,-9.0,0.0,0.95,1
2025-07-06 02:00:00,24.76,7761.21,0.0,0.0,0.0,0.95,0
2025-07-06 03:00:00,25.86,7674.27,7.15,0.0,7.15,0.5737,0
2025-07-06 04:00:00,25.78,7644.44,0.0,0.0,0.0,0.5737,0
2025-07-06 05:00:00,28.47,7566.29,9.0,0.0,9.0,0.1,0
2025-07-06 06:00:00,24.28,7485.81,0.0,0.0,0.0,0.1,0
2025-07-06 07:00:00,20.68,7543.18,0.0,0.0,0.0,0.1,0
2025-07-06 08:00:00,21.28,7807.69,0.0,0.0,0.0,0.1,0
2025-07-06 09:00:00,22.13,8008.46,0.0,0.0,0.0,0.1,0
2025-07-06 10:00:00,19.48,8000.49,-8.89,-8.89,0.0,0.5225,1
2025-07-06 11:00:00,18.24,7953.5,-9.0,-9.0,0.0,0.95,1
2025-07-06 12:00:00,20.22,7966.27,0.0,0.0,0.0,0.95,0
2025-07-06 13:00:00,25.37,8027.38,7.15,0.0,7.15,0.5737,0
2025-07-06 14:00:00,32.36,8080.75,9.0,0.0,9.0,0.1,0
