,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-06-09 15:00:00,22.49,7443.97,-9.0,-9.0,0.0,0.5275,1
2025-06-09 16:00:00,25.28,7691.33,-8.89,-8.89,0.0,0.95,1
2025-06-09 17:00:00,133.32,7897.39,0.0,0.0,0.0,0.95,0
2025-06-09 18:00:00,351.67,7909.47,9.0,0.0,9.0,0.4763,0
2025-06-09 19:00:00,110.89,7946.29,-9.0,-9.0,0.0,0.9038,1
2025-06-09 20:00:00,662.37,7952.29,9.0,0.0,9.0,0.4301,0
2025-06-09 21:00:00,329.35,7582.17,6.27,0.0,6.27,0.1,0
2025-06-09 22:00:00,43.1,7167.96,0.0,0.0,0.0,0.1,0
2025-06-09 23:00:00,34.44,6780.61,0.0,0.0,0.0,0.1,0
2025-06-10 00:00:00,27.96,6354.96,0.0,0.0,0.0,0.1,0
2025-06-10 01:00:00,27.76,6304.28,0.0,0.0,0.0,0.1,0
2025-06-10 02:00:00,25.69,6413.72,0.0,0.0,0.0,0.1,0
2025-06-10 03:00:00,21.42,6678.69,0.0,0.0,0.0,0.1,0
2025-06-10 04:00:00,19.1,7037.29,0.0,0.0,0.0,0.1,0
2025-06-10 05:00:00,17.02,7364.85,-8.89,-8.89,0.0,0.5225,1
2025-06-10 06:00:00,16.34,7665.74,-9.0,-9.0,0.0,0.95,1
2025-06-10 07:00:00,21.59,7998.17,0.0,0.0,0.0,0.95,0
2025-06-10 08:00:00,22.19,8127.72,8.12,0.0,8.12,0.5225,0
2025-06-10 09:00:00,19.64,8106.61,-9.0,-9.0,0.0,0.95,1
2025-06-10 10:00:00,23.55,8027.97,0.0,0.0,0.0,0.95,0
2025-06-10 11:00:00,27.31,8028.65,0.0,0.0,0.0,0.95,0
2025-06-10 12:00:00,37.9,8104.26,9.0,0.0,9.0,0.4763,0
2025-06-10 13:00:00,33.86,8216.63,7.15,0.0,7.15,0.1,0
2025-06-10 14:00:00,23.57,8314.9,0.0,0.0,0.0,0.1,0
