,Timestamp,Wind Speed (km/h)
16,2025-03-20 16:00:00,3.8
17,2025-03-20 17:00:00,5.4
18,2025-03-20 18:00:00,5.4
19,2025-03-20 19:00:00,3.7
20,2025-03-20 20:00:00,2.0
21,2025-03-20 21:00:00,2.3
22,2025-03-20 22:00:00,3.1
23,2025-03-20 23:00:00,3.8
24,2025-03-21 00:00:00,4.1
25,2025-03-21 01:00:00,4.8
26,2025-03-21 02:00:00,5.4
27,2025-03-21 03:00:00,5.7
28,2025-03-21 04:00:00,6.4
29,2025-03-21 05:00:00,7.1
30,2025-03-21 06:00:00,7.4
31,2025-03-21 07:00:00,8.8
32,2025-03-21 08:00:00,8.7
33,2025-03-21 09:00:00,10.4
34,2025-03-21 10:00:00,13.2
35,2025-03-21 11:00:00,15.3
36,2025-03-21 12:00:00,15.3
37,2025-03-21 13:00:00,15.5
38,2025-03-21 14:00:00,14.6
39,2025-03-21 15:00:00,13.9
