,Timestamp,Wind Speed (km/h)
16,2025-03-20 16:00:00,26.9
17,2025-03-20 17:00:00,25.3
18,2025-03-20 18:00:00,28.5
19,2025-03-20 19:00:00,24.3
20,2025-03-20 20:00:00,11.8
21,2025-03-20 21:00:00,6.6
22,2025-03-20 22:00:00,6.1
23,2025-03-20 23:00:00,6.4
24,2025-03-21 00:00:00,4.2
25,2025-03-21 01:00:00,3.3
26,2025-03-21 02:00:00,1.8
27,2025-03-21 03:00:00,4.1
28,2025-03-21 04:00:00,3.2
29,2025-03-21 05:00:00,4.3
30,2025-03-21 06:00:00,3.6
31,2025-03-21 07:00:00,4.8
32,2025-03-21 08:00:00,4.8
33,2025-03-21 09:00:00,2.0
34,2025-03-21 10:00:00,7.0
35,2025-03-21 11:00:00,11.2
36,2025-03-21 12:00:00,23.0
37,2025-03-21 13:00:00,27.4
38,2025-03-21 14:00:00,27.2
39,2025-03-21 15:00:00,16.5
