,Timestamp,Temperature (°C)
16,2025-03-20 16:00:00,-6.4
17,2025-03-20 17:00:00,-5.7
18,2025-03-20 18:00:00,-5.5
19,2025-03-20 19:00:00,-5.9
20,2025-03-20 20:00:00,-7.1
21,2025-03-20 21:00:00,-8.9
22,2025-03-20 22:00:00,-10.4
23,2025-03-20 23:00:00,-11.3
24,2025-03-21 00:00:00,-12.1
25,2025-03-21 01:00:00,-12.9
26,2025-03-21 02:00:00,-13.6
27,2025-03-21 03:00:00,-14.0
28,2025-03-21 04:00:00,-14.5
29,2025-03-21 05:00:00,-14.8
30,2025-03-21 06:00:00,-15.0
31,2025-03-21 07:00:00,-15.3
32,2025-03-21 08:00:00,-15.5
33,2025-03-21 09:00:00,-15.1
34,2025-03-21 10:00:00,-14.1
35,2025-03-21 11:00:00,-12.5
36,2025-03-21 12:00:00,-10.6
37,2025-03-21 13:00:00,-8.7
38,2025-03-21 14:00:00,-6.6
39,2025-03-21 15:00:00,-4.7
