,datetime_,wind_generation
0,2025-03-18 23:00,3211.59
1,2025-03-19 00:00,3320.67
2,2025-03-19 01:00,3313.54
3,2025-03-19 02:00,3209.03
4,2025-03-19 03:00,3026.21
5,2025-03-19 04:00,2767.07
6,2025-03-19 05:00,2459.74
7,2025-03-19 06:00,2178.6
8,2025-03-19 07:00,2004.31
9,2025-03-19 08:00,1882.45
10,2025-03-19 09:00,1663.87
11,2025-03-19 10:00,1479.56
12,2025-03-19 11:00,1441.52
13,2025-03-19 12:00,1493.92
14,2025-03-19 13:00,1580.03
15,2025-03-19 14:00,1655.87
16,2025-03-19 15:00,1726.92
17,2025-03-19 16:00,1785.34
18,2025-03-19 17:00,1789.08
19,2025-03-19 18:00,1876.78
20,2025-03-19 19:00,2143.63
21,2025-03-19 20:00,2509.31
22,2025-03-19 21:00,2813.81
23,2025-03-19 22:00,2984.13
