,datetime_,solar_generation
0,2025-03-20 16:00,727.12
1,2025-03-20 17:00,575.42
2,2025-03-20 18:00,259.93
3,2025-03-20 19:00,28.76
4,2025-03-20 20:00,0.0
5,2025-03-20 21:00,0.0
6,2025-03-20 22:00,0.0
7,2025-03-20 23:00,0.0
8,2025-03-21 00:00,0.0
9,2025-03-21 01:00,0.0
10,2025-03-21 02:00,0.0
11,2025-03-21 03:00,0.0
12,2025-03-21 04:00,0.0
13,2025-03-21 05:00,0.0
14,2025-03-21 06:00,0.0
15,2025-03-21 07:00,37.54
16,2025-03-21 08:00,380.0
17,2025-03-21 09:00,1004.1
18,2025-03-21 10:00,1375.5
19,2025-03-21 11:00,1488.65
20,2025-03-21 12:00,1483.94
21,2025-03-21 13:00,1477.59
22,2025-03-21 14:00,1468.06
23,2025-03-21 15:00,1432.86
